rank,prev_rank,name,league,off,def,spi
44,41,Real Betis,Spanish Primera Division,1.9,0.72,72.33
45,45,Leicester City,Barclays Premier League,1.93,0.76,72.13
46,42,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.73,0.61,72.07
47,50,Alavés,Spanish Primera Division,1.86,0.7,72.07
48,46,Shakhtar Donetsk,UEFA Europa League,2.15,0.93,71.79
49,47,Crystal Palace,Barclays Premier League,1.92,0.77,71.66
50,49,Espanyol,Spanish Primera Division,1.92,0.79,71.17
51,54,Wolverhampton,Barclays Premier League,1.84,0.75,70.66
52,65,Everton,Barclays Premier League,1.86,0.78,70.4
53,61,Werder Bremen,German Bundesliga,2.06,0.95,69.91
54,64,Marseille,French Ligue 1,1.74,0.71,69.64
55,58,Palmeiras,Brasileiro Série A,1.73,0.71,69.61
56,66,Sampdoria,Italy Serie A,2.04,0.96,69.3
57,63,Watford,Barclays Premier League,1.95,0.89,69.29
58,62,Borussia Monchengladbach,German Bundesliga,1.97,0.91,69.23
59,51,SD Huesca,Spanish Primera Division,1.9,0.85,69.17
60,59,FC Copenhagen,Danish SAS-Ligaen,2.16,1.06,69.08
61,57,Fiorentina,Italy Serie A,1.9,0.88,68.71
62,53,Dynamo Kiev,UEFA Europa League,1.98,0.94,68.7
63,48,FC Krasnodar,Russian Premier Liga,1.78,0.79,68.62
64,56,Torino,Italy Serie A,1.75,0.76,68.57
65,52,Club Brugge,Belgian Jupiler League,2.02,0.99,68.27
66,67,Sporting CP,Portuguese Liga,1.83,0.84,68.16
67,60,Lille,French Ligue 1,1.67,0.72,68.09
68,70,Flamengo,Brasileiro Série A,1.7,0.78,67.07
69,71,Newcastle,Barclays Premier League,1.75,0.83,66.94
70,74,VfL Wolfsburg,German Bundesliga,1.9,0.97,66.54
71,91,St Etienne,French Ligue 1,1.71,0.82,66.31
72,84,Real Valladolid,Spanish Primera Division,1.74,0.85,66.26
73,75,Southampton,Barclays Premier League,1.8,0.9,66.15
74,73,Hertha Berlin,German Bundesliga,1.89,0.98,66.07
75,72,AFC Bournemouth,Barclays Premier League,1.92,1.01,65.98
76,80,Grêmio,Brasileiro Série A,1.58,0.74,65.74
77,69,Stade Rennes,French Ligue 1,1.7,0.84,65.68
78,81,Nantes,French Ligue 1,1.53,0.72,65.34
79,76,Celtic,Scottish Premiership,1.76,0.9,65.26
80,77,FC Midtjylland,Danish SAS-Ligaen,2.12,1.21,65.11
81,85,Levante,Spanish Primera Division,1.94,1.06,65.05
82,78,Rayo Vallecano,Spanish Primera Division,1.77,0.93,65.04
83,82,Guangzhou Evergrande,Chinese Super League,2.02,1.13,65.04
84,79,Celta Vigo,Spanish Primera Division,1.85,0.99,65.02
85,87,Besiktas,Turkish Turkcell Super Lig,2.16,1.27,64.52
86,88,Burnley,Barclays Premier League,1.83,1.0,64.46
87,68,Feyenoord,Dutch Eredivisie,2.17,1.28,64.37
88,89,Ludogorets,UEFA Europa League,1.68,0.89,64.16
89,90,Basel,Swiss Raiffeisen Super League,2.0,1.16,64.04
90,86,West Ham United,Barclays Premier League,1.87,1.05,63.95
91,106,Genoa,Italy Serie A,1.68,0.9,63.92
92,96,Lokomotiv Moscow,Russian Premier Liga,1.63,0.86,63.88
93,97,AZ,Dutch Eredivisie,1.88,1.08,63.57
94,83,Schalke 04,German Bundesliga,1.81,1.03,63.37
